DSDIID,DSDINGR,DSDBID,DSDBCNAM,DSDBCCAT,DSDBCID
682.0,DOUBLE X CONCENTRATE,1172.0,RIBOFLAVIN,1.0,10001284
682.0,DOUBLE X CONCENTRATE,1282.0,BROCCOLI CONCENTRATE,3.0,10001407
682.0,DOUBLE X CONCENTRATE,1292.0,HORSERADISH (ROOT),3.0,10001417
682.0,DOUBLE X CONCENTRATE,1293.0,POTASSIUM IODIDE,2.0,10001418
682.0,DOUBLE X CONCENTRATE,1596.0,MIXED TOCOPHEROLS,1.0,10001735
682.0,DOUBLE X CONCENTRATE,2129.0,VITAMIN B-6,1.0,10002293
682.0,DOUBLE X CONCENTRATE,2130.0,VITAMIN B-12,1.0,10002294
682.0,DOUBLE X CONCENTRATE,2131.0,FOLIC ACID,1.0,10002295
682.0,DOUBLE X CONCENTRATE,2677.0,CITRUS BIOFLAVONOIDS CONCENTRATE,3.0,10002869
682.0,DOUBLE X CONCENTRATE,2688.0,ACEROLA CONCENTRATE,3.0,10002880
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,117.0,EVENING PRIMROSE OIL,3.0,10000131
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,257.0,OLIVE OIL,3.0,10000275
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,704.0,FLAX OIL (SEED),3.0,10000777
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,1695.0,GLYCERINE,4.0,10001843
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,2401.0,BORAGE OIL,3.0,10002578
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,2898.0,SORBITOL FATTY ACID ESTERS,4.0,10003098
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,2899.0,ALMOND OIL,3.0,10003099
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,2900.0,SESAME SEED OIL,3.0,10003100
756.0,DAILY COMPLETE + ESSENTIAL FATTY ACID COMPLEX,2901.0,COCONUT OIL,3.0,10003101
779.0,SUNDOWN BASE COMPLEX BLEND,82.0,CHOLINE BITARTRATE,1.0,10000091
779.0,SUNDOWN BASE COMPLEX BLEND,175.0,INOSITOL,4.0,10000189
779.0,SUNDOWN BASE COMPLEX BLEND,271.0,PARSLEY,3.0,10000289
779.0,SUNDOWN BASE COMPLEX BLEND,307.0,RICE BRAN,3.0,10000327
779.0,SUNDOWN BASE COMPLEX BLEND,367.0,WATERCRESS,3.0,10000388
779.0,SUNDOWN BASE COMPLEX BLEND,618.0,ALFALFA (LEAF),3.0,10000690
779.0,SUNDOWN BASE COMPLEX BLEND,899.0,SOY LECITHIN,3.0,10000985
779.0,SUNDOWN BASE COMPLEX BLEND,1160.0,PABA (PARA-AMINOBENZOIC ACID),4.0,10001270
799.0,SOLARAY HERBAL BASE,101.0,DANDELION ROOT,3.0,10000111
799.0,SOLARAY HERBAL BASE,367.0,WATERCRESS,3.0,10000388
799.0,SOLARAY HERBAL BASE,618.0,ALFALFA (LEAF),3.0,10000690
799.0,SOLARAY HERBAL BASE,769.0,PARSLEY LEAVES,3.0,10000849
820.0,ULTRA PLAN SUPER FOODS BLEND,21.0,BARLEY LEAVES,3.0,10000028
820.0,ULTRA PLAN SUPER FOODS BLEND,52.0,BROCCOLI,3.0,10000059
820.0,ULTRA PLAN SUPER FOODS BLEND,332.0,SPIRULINA,3.0,10000352
820.0,ULTRA PLAN SUPER FOODS BLEND,618.0,ALFALFA (LEAF),3.0,10000690
820.0,ULTRA PLAN SUPER FOODS BLEND,840.0,SPINACH LEAVES,3.0,10000925
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,589.0,GUAVA POWDER (FRUIT),3.0,10000658
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,1304.0,PASSION FLOWER,3.0,10001430
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,1477.0,MALTODEXTRIN,4.0,10001609
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,1643.0,ACEROLA CHERRY EXTRACT (FRUIT),3.0,10001787
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,1803.0,PINEAPPLE,3.0,10001955
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,2029.0,CASHEW FRUIT,3.0,10002189
825.0,NUTRILITE TROPICAL FRUIT CONCENTRATE BLEND,3321.0,DEXTRIN,4.0,10003529
826.0,NUTRILITE CONCENTRATE BLEND,184.0,KELP,3.0,10000198
826.0,NUTRILITE CONCENTRATE BLEND,557.0,SPINACH,3.0,10000626
826.0,NUTRILITE CONCENTRATE BLEND,572.0,MAGNESIUM OXIDE,2.0,10000641
826.0,NUTRILITE CONCENTRATE BLEND,1295.0,TRICALCIUM PHOSPHATE,2.0,10001420
826.0,NUTRILITE CONCENTRATE BLEND,1420.0,ALFALFA/WATERCRESS/PARSLEY CONCENTRATE,3.0,10001551
826.0,NUTRILITE CONCENTRATE BLEND,1421.0,ELECTROLYTIC IRON,2.0,10001552
826.0,NUTRILITE CONCENTRATE BLEND,1422.0,CARROT PULP POWDER,3.0,10001553
826.0,NUTRILITE CONCENTRATE BLEND,1726.0,ALFALFA CONCENTRATE,3.0,10001877
826.0,NUTRILITE CONCENTRATE BLEND,2130.0,VITAMIN B-12,1.0,10002294
826.0,NUTRILITE CONCENTRATE BLEND,2688.0,ACEROLA CONCENTRATE,3.0,10002880
852.0,GREEN SOURCE LACTOBACILLUS BLEND,216.0,LACTOBACILLUS ACIDOPHILUS,4.0,10000232
852.0,GREEN SOURCE LACTOBACILLUS BLEND,1457.0,L. BULGARICUS,4.0,10001589
852.0,GREEN SOURCE LACTOBACILLUS BLEND,1523.0,L. BIFIDUS,4.0,10001655
869.0,DIGEZYME ENZYME COMPLEX,9.0,AMYLASE,4.0,10000015
869.0,DIGEZYME ENZYME COMPLEX,72.0,CELLULASE,4.0,10000081
869.0,DIGEZYME ENZYME COMPLEX,225.0,LIPASE,4.0,10000242
869.0,DIGEZYME ENZYME COMPLEX,1245.0,LACTASE,4.0,10001368
869.0,DIGEZYME ENZYME COMPLEX,1371.0,NEUTRAL PROTEASE,4.0,10001501
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,52.0,BROCCOLI,3.0,10000059
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,683.0,"SPINACH CONCENTRATE (LEAF, STEM)",3.0,10000755
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1283.0,CAULIFLOWER CONCENTRATE,3.0,10001408
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1284.0,BRUSSEL SPROUT CONCENTRATE,3.0,10001409
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1285.0,CABBAGE CONCENTRATE,3.0,10001410
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1287.0,CARROT CONCENTRATE,3.0,10001412
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1447.0,CELERY CONCENTRATE,3.0,10001578
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1448.0,YAMS CONCENTRATE,3.0,10001579
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1449.0,COLLARD GREENS CONCENTRATE,3.0,10001580
883.0,PURITAN'S PRIDE FREEZE DRIED VEGETABLE CONCENTRATE,1450.0,KALE CONCENTRATE,3.0,10001581
891.0,HERBALIFE ANTIOXIDANT COMPLEX,673.0,BILBERRY EXTRACT (FRUIT),3.0,10000745
891.0,HERBALIFE ANTIOXIDANT COMPLEX,677.0,PINE BARK EXTRACT,3.0,10000749
891.0,HERBALIFE ANTIOXIDANT COMPLEX,2000.0,RHODODENDRON (ROOT),3.0,10002158
891.0,HERBALIFE ANTIOXIDANT COMPLEX,2001.0,"RED GRAPE EXTRACT (SEED, SKIN, & LEAF)",3.0,10002159
898.0,SUNDOWN BILBERRY HERBAL COMPLEX BLEND,68.0,CARROT,3.0,10000077
898.0,SUNDOWN BILBERRY HERBAL COMPLEX BLEND,392.0,BETA CAROTENE,4.0,10000433
898.0,SUNDOWN BILBERRY HERBAL COMPLEX BLEND,648.0,GINKGO BILOBA LEAF,3.0,10000720
898.0,SUNDOWN BILBERRY HERBAL COMPLEX BLEND,893.0,VITAMIN C,1.0,10000979
898.0,SUNDOWN BILBERRY HERBAL COMPLEX BLEND,1488.0,ZINC OXIDE,2.0,10001620
905.0,SUNDOWN BLUE-GREEN ALGAE BLEND,332.0,SPIRULINA,3.0,10000352
905.0,SUNDOWN BLUE-GREEN ALGAE BLEND,367.0,WATERCRESS,3.0,10000388
905.0,SUNDOWN BLUE-GREEN ALGAE BLEND,650.0,KLAMATH LAKE BLUE GREEN ALGAE,3.0,10000722
906.0,BIOZAN,31.0,BETAINE HYDROCHLORIDE,4.0,10000038
906.0,BIOZAN,569.0,BETA GLUCAN,4.0,10000638
906.0,BIOZAN,573.0,CHITOSAN,4.0,10000642
906.0,BIOZAN,1348.0,ALOE VERA,3.0,10001476
906.0,BIOZAN,1490.0,OAT FIBER,3.0,10001622
908.0,SUNDOWN B COMPLEX  BASE BLEND,82.0,CHOLINE BITARTRATE,1.0,10000091
908.0,SUNDOWN B COMPLEX  BASE BLEND,175.0,INOSITOL,4.0,10000189
908.0,SUNDOWN B COMPLEX  BASE BLEND,1160.0,PABA (PARA-AMINOBENZOIC ACID),4.0,10001270
924.0,MICHAEL'S ESSENTIAL FATTY ACIDS,224.0,LINOLEIC ACID,4.0,10000241
924.0,MICHAEL'S ESSENTIAL FATTY ACIDS,1595.0,LINOLENIC ACID,4.0,10001734
929.0,CHROMA SLIM HERBAL COMPLEX,55.0,BROMELAIN,4.0,10000062
929.0,CHROMA SLIM HERBAL COMPLEX,180.0,JUNIPER BERRY,3.0,10000194
929.0,CHROMA SLIM HERBAL COMPLEX,769.0,PARSLEY LEAVES,3.0,10000849
929.0,CHROMA SLIM HERBAL COMPLEX,786.0,UVA URSI (LEAF),3.0,10000867
929.0,CHROMA SLIM HERBAL COMPLEX,793.0,CORNSILK,3.0,10000874
929.0,CHROMA SLIM HERBAL COMPLEX,1109.0,HORSETAIL,3.0,10001213
929.0,CHROMA SLIM HERBAL COMPLEX,1493.0,PAPRIKA (FRUIT),3.0,10001625
929.0,CHROMA SLIM HERBAL COMPLEX,1494.0,OVATE BUCHU (LEAF),3.0,10001626
950.0,SOLGAR ADVANCED 40+ ACIDOPHILUS COMPLEX,216.0,LACTOBACILLUS ACIDOPHILUS,4.0,10000232
950.0,SOLGAR ADVANCED 40+ ACIDOPHILUS COMPLEX,1457.0,L. BULGARICUS,4.0,10001589
950.0,SOLGAR ADVANCED 40+ ACIDOPHILUS COMPLEX,1500.0,L. PARACASEI,4.0,10001632
950.0,SOLGAR ADVANCED 40+ ACIDOPHILUS COMPLEX,1501.0,B. LACTIS,4.0,10001633
950.0,SOLGAR ADVANCED 40+ ACIDOPHILUS COMPLEX,1502.0,S. THERMOPHILUS,4.0,10001634
957.0,ACUITY PLUS ENHANCED PROPRIETY BLEND,642.0,ROSEMARY EXTRACT (LEAF),3.0,10000714
957.0,ACUITY PLUS ENHANCED PROPRIETY BLEND,673.0,BILBERRY EXTRACT (FRUIT),3.0,10000745
957.0,ACUITY PLUS ENHANCED PROPRIETY BLEND,712.0,"HAWTHORN EXTRACT (LEAF, FLOWER)",3.0,10000786
957.0,ACUITY PLUS ENHANCED PROPRIETY BLEND,920.0,GOTU KOLA EXTRACT (CENTELLA ASIATICA) (LEAF),3.0,10001007
1050.0,4:1 CUSTOM HERBAL EXTRACTS,1173.0,GINGER (RHIZOME EXTRACT),3.0,10001285
1050.0,4:1 CUSTOM HERBAL EXTRACTS,1306.0,GENTIAN (ROOT),3.0,10001432
1050.0,4:1 CUSTOM HERBAL EXTRACTS,1458.0,BLACK SESAME (SEED),3.0,10001590
1051.0,RAINBOW LIGHT VEGETABLE CONCENTRATES,590.0,"PARSLEY CONCENTRATE (LEAF, STEM)",3.0,10000659
1051.0,RAINBOW LIGHT VEGETABLE CONCENTRATES,1282.0,BROCCOLI CONCENTRATE,3.0,10001407
1051.0,RAINBOW LIGHT VEGETABLE CONCENTRATES,1287.0,CARROT CONCENTRATE,3.0,10001412
1060.0,TONALIN PROPRIETARY BLEND,224.0,LINOLEIC ACID,4.0,10000241
1060.0,TONALIN PROPRIETARY BLEND,256.0,OLEIC ACID,4.0,10000274
1060.0,TONALIN PROPRIETARY BLEND,264.0,PALMITIC ACID,4.0,10000282
1060.0,TONALIN PROPRIETARY BLEND,334.0,STEARIC ACID,4.0,10000354
1060.0,TONALIN PROPRIETARY BLEND,827.0,CONJUGATED LINOLEIC ACID,4.0,10000912
1067.0,B LEAN FIBER BLEND,253.0,OAT BRAN,3.0,10000271
1067.0,B LEAN FIBER BLEND,307.0,RICE BRAN,3.0,10000327
1067.0,B LEAN FIBER BLEND,573.0,CHITOSAN,4.0,10000642
1067.0,B LEAN FIBER BLEND,1428.0,BEET ROOT FIBER,3.0,10001559
1067.0,B LEAN FIBER BLEND,1429.0,PLANTAGO OVATO SEED HUSK,3.0,10001560
1093.0,NEWPHASE MULTI-HERBAL ISOFLAVONE BLEND,454.0,SOY PROTEIN CONCENTRATE,3.0,10000504
1093.0,NEWPHASE MULTI-HERBAL ISOFLAVONE BLEND,971.0,RED CLOVER EXTRACT,3.0,10001060
1093.0,NEWPHASE MULTI-HERBAL ISOFLAVONE BLEND,2009.0,KUDZU EXTRACT (ROOT),3.0,10002169
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,146.0,GLYCINE,5.0,10000160
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,191.0,L-ALANINE,5.0,10000206
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,192.0,L-ARGININE,5.0,10000207
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,193.0,L-ASPARTIC ACID,5.0,10000208
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,196.0,L-CYSTEINE,5.0,10000211
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,198.0,L-GLUTAMIC ACID,5.0,10000213
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,201.0,L-HISTIDINE,5.0,10000217
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,202.0,L-ISOLEUCINE,5.0,10000218
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,203.0,L-LEUCINE,5.0,10000219
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,204.0,L-LYSINE,5.0,10000220
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,205.0,L-METHIONINE,5.0,10000221
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,206.0,L-ORNITHINE,5.0,10000222
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,207.0,L-PHENYLALANINE,5.0,10000223
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,208.0,L-PROLINE-MG,5.0,10000224
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,209.0,L-SERINE-MG,5.0,10000225
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,211.0,L-THREONINE-MG,5.0,10000227
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,214.0,L-VALINE,5.0,10000230
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,412.0,TAURINE,5.0,10000455
1095.0,SOLGAR SOY PROTEIN ISOLATE/AMINO ACID BLEND,1001.0,L-TYROSINE,5.0,10001093
1096.0,SOLGAR SPECIAL NATURAL POWDERED BLEND,5.0,ALFALFA,3.0,10000008
1096.0,SOLGAR SPECIAL NATURAL POWDERED BLEND,271.0,PARSLEY,3.0,10000289
1096.0,SOLGAR SPECIAL NATURAL POWDERED BLEND,367.0,WATERCRESS,3.0,10000388
1096.0,SOLGAR SPECIAL NATURAL POWDERED BLEND,491.0,ROSE HIPS (FRUIT),3.0,10000545
1096.0,SOLGAR SPECIAL NATURAL POWDERED BLEND,739.0,ACEROLA BERRY,3.0,10000816
1096.0,SOLGAR SPECIAL NATURAL POWDERED BLEND,796.0,KELP (WHOLE PLANT),3.0,10000877
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,5.0,ALFALFA,3.0,10000008
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,22.0,BEE POLLEN,4.0,10000029
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,217.0,LECITHIN,4.0,10000233
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,253.0,OAT BRAN,3.0,10000271
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,271.0,PARSLEY,3.0,10000289
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,325.0,SIBERIAN GINSENG ROOT,3.0,10000345
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,332.0,SPIRULINA,3.0,10000352
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,338.0,SUMA,3.0,10000358
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,367.0,WATERCRESS,3.0,10000388
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,417.0,ECHINACEA PURPUREA (ROOT),3.0,10000460
1098.0,SOLGAR WHOLE FOOD/HERBAL BLEND,476.0,DONG QUAI (ROOT),3.0,10000529
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,146.0,GLYCINE,5.0,10000160
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,191.0,L-ALANINE,5.0,10000206
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,192.0,L-ARGININE,5.0,10000207
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,193.0,L-ASPARTIC ACID,5.0,10000208
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,196.0,L-CYSTEINE,5.0,10000211
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,198.0,L-GLUTAMIC ACID,5.0,10000213
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,201.0,L-HISTIDINE,5.0,10000217
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,202.0,L-ISOLEUCINE,5.0,10000218
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,203.0,L-LEUCINE,5.0,10000219
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,204.0,L-LYSINE,5.0,10000220
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,205.0,L-METHIONINE,5.0,10000221
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,206.0,L-ORNITHINE,5.0,10000222
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,207.0,L-PHENYLALANINE,5.0,10000223
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,208.0,L-PROLINE-MG,5.0,10000224
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,209.0,L-SERINE-MG,5.0,10000225
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,211.0,L-THREONINE-MG,5.0,10000227
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,214.0,L-VALINE,5.0,10000230
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,412.0,TAURINE,5.0,10000455
1099.0,VM-2000 SOY PROTEIN/AMINO ACID BLEND,1001.0,L-TYROSINE,5.0,10001093
1103.0,SUNDOWN WHOLE FOOD PHYTONUTRIENT BLEND,52.0,BROCCOLI,3.0,10000059
1103.0,SUNDOWN WHOLE FOOD PHYTONUTRIENT BLEND,68.0,CARROT,3.0,10000077
1103.0,SUNDOWN WHOLE FOOD PHYTONUTRIENT BLEND,557.0,SPINACH,3.0,10000626
1103.0,SUNDOWN WHOLE FOOD PHYTONUTRIENT BLEND,2165.0,TOMATO,3.0,10002330
1123.0,CHITOZYME,298.0,PSYLLIUM SEED HUSKS,3.0,10000317
1123.0,CHITOZYME,573.0,CHITOSAN,4.0,10000642
1134.0,SOLGAR ACTIVE HERBAL BLEND,113.0,ECHINACEA ROOT,3.0,10000126
1134.0,SOLGAR ACTIVE HERBAL BLEND,137.0,GINGER ROOT,3.0,10000151
1134.0,SOLGAR ACTIVE HERBAL BLEND,149.0,GOLDEN SEAL ROOT,3.0,10000163
1134.0,SOLGAR ACTIVE HERBAL BLEND,241.0,MILK THISTLE,3.0,10000259
1134.0,SOLGAR ACTIVE HERBAL BLEND,648.0,GINKGO BILOBA LEAF,3.0,10000720
1134.0,SOLGAR ACTIVE HERBAL BLEND,795.0,CAYENNE (FRUIT),3.0,10000876
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,149.0,GOLDEN SEAL ROOT,3.0,10000163
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,160.0,HAWTHORN,3.0,10000174
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,217.0,LECITHIN,4.0,10000233
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,308.0,ROSE HIPS,3.0,10000328
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,769.0,PARSLEY LEAVES,3.0,10000849
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,866.0,MILK THISTLE (SEED),3.0,10000952
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,1246.0,GINKGO BILOBA (LEAF CONC 8:1),3.0,10001369
1143.0,ULTRA PLAN ULTIMATE-PLUS BLEND,2705.0,DAMIANA,3.0,10002897
